ID,N_VICTIMAS,HORA_ACCIDENTE,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,LONGITUD,LATITUD,PARTICIPANTES,ACUSADO,FECHA_ACCIDENTE,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO,SEMESTRE,ANIO
2020-0077,2,06:40:00,San Martin Av. Y Punta Arenas,Avenida,15,-58.47220945,-34.60111373,Moto-Auto,Auto,2020-12-25,Pasajero_Acompañante,Moto,Femenino,24,2020-12-25 00:00:00,2,2020
2020-0078,1,05:50:00,Barco Centenera Del 1118,Calle,7,-58.43706741,-34.63217813,Bicicleta-Pasajeros,Pasajeros,2020-12-25,Ciclista,Bicicleta,Masculino,26,2020-12-25 00:00:00,2,2020
2020-0079,1,04:15:00,Paz Gral. Av. Y Acceso Norte - Panamericana,Gral Paz,12,-58.49332664,-34.54836855,Moto-Objeto Fijo,Objeto Fijo,2020-12-27,Conductor,Moto,Masculino,28,2020-12-27 00:00:00,2,2020
2021-0001,1,18:00:00,Au Frondizi Km. 3,Autopista,1,-58.37960727,-34.62622851,Moto-Auto,Auto,2021-01-06,Conductor,Moto,Masculino,36,2021-01-06 00:00:00,1,2021
2021-0002,1,10:20:00,Castro Emilio Av. Y Murguiondo,Avenida,9,-58.51061062,-34.64972472,Moto-Cargas,Cargas,2021-01-07,Conductor,Moto,Femenino,47,2021-01-07 00:00:00,1,2021
2021-0003,1,07:40:00,Au 25 De Mayo Km. 37,Autopista,7,-58.43052224,-34.62941648,Moto-Objeto Fijo,Objeto Fijo,2021-01-10,Conductor,Moto,Masculino,27,2021-01-10 00:00:00,1,2021
2021-0004,1,09:12:18,Caseros Av. Y Guarani,Avenida,5,-58.41455544,-34.63866836,Peaton-Cargas,Cargas,2021-01-11,Peaton,Peaton,Femenino,61,2021-01-11 00:00:00,1,2021
2021-0005,1,21:30:00,Peron Eva Av. 3800,Avenida,9,-58.46774439,-34.64730145,Peaton-Auto,Auto,2021-01-11,Peaton,Peaton,Masculino,73,2021-01-14 00:00:00,1,2021
2021-0006,1,21:00:00,Au Illia Y Sarmiento Av.,Autopista,14,-58.40786274,-34.56726817,Moto-Cargas,Cargas,2021-01-12,Pasajero_Acompañante,Moto,Femenino,23,2021-01-12 00:00:00,1,2021
2021-0007,1,10:00:00,De Los Constituyentes Av. Y Giribone,Avenida,15,-58.48744301,-34.58622275,Moto-Moto,Moto,2021-01-18,Conductor,Moto,Masculino,84,2021-01-26 00:00:00,1,2021
2021-0008,1,23:30:00,Saenz Av. Y Rabanal Francisco Intendente Av.,Avenida,4,-58.41657793,-34.65476216,Peaton-Pasajeros,Pasajeros,2021-01-22,Peaton,Peaton,Masculino,28,2021-01-22 00:00:00,1,2021
2021-0009,1,05:30:00,Paysandu Y Gaona,Avenida,6,-58.45351111,-34.61134937,Moto-Objeto Fijo,Objeto Fijo,2021-01-23,Conductor,Moto,Masculino,31,2021-01-23 00:00:00,1,2021
2021-0010,1,08:00:00,Paz Gral. Av. Y Balbin Ricardo Dr. Av.,Gral Paz,12,-58.50073810,-34.54979510,Moto-Auto,Auto,2021-01-23,Conductor,Moto,Masculino,28,2021-01-23 00:00:00,1,2021
2021-0011,1,01:04:26,Santa Fe Av. 1675,Avenida,2,-58.39144148,-34.59564871,Peaton-Auto,Auto,2021-01-27,Peaton,Peaton,Masculino,21,2021-01-27 00:00:00,1,2021
2021-0012,1,20:07:22,Au Dellepiane Y Guamini,Autopista,8,-58.48191128,-34.68385968,Peaton-Auto,Auto,2021-01-29,Peaton,Peaton,Masculino,42,2021-01-29 00:00:00,1,2021
2021-0013,1,06:10:00,Falcon Ramon L. Cnel. Y Olivera Av.,Avenida,10,-58.48727942,-34.63652467,Moto-Objeto Fijo,Objeto Fijo,2021-01-31,Conductor,Moto,Masculino,41,2021-01-31 00:00:00,1,2021
2021-0014,1,00:50:00,San Martin Av. Y Nogoya,Avenida,15,-58.48328708,-34.59779521,Peaton-Auto,Auto,2021-02-02,Peaton,Peaton,Masculino,28,2021-02-18 00:00:00,1,2021
2021-0015,1,03:05:00,San Martin Av. Y Tinogasta,Avenida,15,-58.49018543,-34.59724990,Moto-Objeto Fijo,Objeto Fijo,2021-02-06,Conductor,Moto,Masculino,26,2021-02-06 00:00:00,1,2021
2021-0016,1,05:50:00,Fernandez De La Cruz F. Gral. Av. Y De La Torre Lisandro,Avenida,8,-58.47230127,-34.68482689,Auto-Objeto Fijo,Objeto Fijo,2021-02-14,Conductor,Auto,Masculino,22,2021-02-14 00:00:00,1,2021
2021-0017,1,04:10:00,Salta Y Caseros Av.,Avenida,1,-58.38262614,-34.63168269,Moto-Pasajeros,Pasajeros,2021-02-17,Conductor,Moto,Masculino,33,2021-02-17 00:00:00,1,2021
2021-0018,1,19:00:00,Jaures Jean Y Peron Juan Domingo Tte. General,Calle,3,-58.41047268,-34.60793518,Peaton-Auto,Auto,2021-02-20,Peaton,Peaton,Masculino,36,2021-03-08 00:00:00,1,2021
2021-0019,1,01:20:00,Triunvirato Av. Y Larralde Crisologo Av.,Avenida,12,-58.49659234,-34.56353635,Moto-Objeto Fijo,Objeto Fijo,2021-02-21,Conductor,Moto,Masculino,30,2021-02-21 00:00:00,1,2021
2021-0020,1,15:00:00,Potosi Y Gascon,Calle,5,-58.42462955,-34.60727189,Peaton-Cargas,Cargas,2021-02-21,Peaton,Peaton,Femenino,42,2021-02-21 00:00:00,1,2021
2021-0021,1,05:30:00,Yrigoyen Hipolito Y 24 De Noviembre,Calle,3,-58.41168345,-34.61185625,Moto-Objeto Fijo,Objeto Fijo,2021-02-26,Conductor,Moto,Masculino,39,2021-03-04 00:00:00,1,2021
2021-0023,1,09:20:00,Au Buenos Aires La Plata Km 45,Autopista,4,.,.,Moto-Cargas,Cargas,2021-03-01,Conductor,Moto,Masculino,24,2021-03-01 00:00:00,1,2021
2021-0024,1,16:30:00,Peron Eva Av. Y Piedra Buena Av,Avenida,9,-58.49573651,-34.67006054,Bicicleta-Cargas,Cargas,2021-03-03,Ciclista,Bicicleta,Masculino,5,2021-03-03 00:00:00,1,2021
2021-0025,1,03:45:00,Paz Gral. Av. Y Dellepiane Luis Tte. Gral,Gral Paz,8,-58.48695354,-34.68795245,Moto-Otro,Otro,2021-03-11,Conductor,Moto,Masculino,37,2021-03-11 00:00:00,1,2021
2021-0026,1,02:35:00,Au Frondizi Altura Quinquela Martin Benito,Autopista,4,-58.37562539,-34.64449357,Moto-Objeto Fijo,Objeto Fijo,2021-03-15,Conductor,Moto,Masculino,36,2021-03-15 00:00:00,1,2021
2021-0027,1,15:30:00,Paz Gral. Av. Y Donado,Gral Paz,12,-58.49491054,-34.54795581,Moto-Cargas,Cargas,2021-03-16,Conductor,Moto,Femenino,19,2021-03-16 00:00:00,1,2021
2021-0028,1,17:20:00,Corea Av. Y Torres Y Tenorio Pres,Avenida,7,-58.44147621,-34.64357704,Peaton-Pasajeros,Pasajeros,2021-03-29,Peaton,Peaton,Masculino,42,2021-03-29 00:00:00,1,2021
2021-0029,1,18:05:00,Falcon Ramon L. Cnel. Y San Pedrito Av.,Avenida,7,-58.46899119,-34.63215432,Auto-Auto,Auto,2021-03-31,Conductor,Auto,Masculino,26,2021-04-02 00:00:00,1,2021
